Date,Price,Open,High,Low,Vol.,Change %
30/11/2022,78.94,78.75,79.16,78.61,,0.24%
29/11/2022,78.75,76.54,79.56,76.3,,2.87%
28/11/2022,76.55,76.06,77.84,73.61,,0.63%
27/11/2022,76.07,76.08,76.35,75.84,,-0.54%
25/11/2022,76.48,77.97,79.89,76.23,,-1.89%
24/11/2022,77.95,77.53,78.19,76.92,,0.55%
23/11/2022,77.52,81.33,81.95,76.83,,-4.66%
22/11/2022,81.31,80.33,82.36,79.86,,1.98%
21/11/2022,79.73,80.3,80.3,75.08,21.98K,-0.44%
18/11/2022,80.08,82.09,82.64,77.24,96.58K,-1.91%
17/11/2022,81.64,85.22,85.45,81.4,138.48K,-4.62%
16/11/2022,85.59,86.89,87.51,84.2,225.67K,-1.53%
15/11/2022,86.92,85.25,88.68,84.06,331.71K,1.22%
14/11/2022,85.87,89.02,89.84,85.15,315.45K,-3.47%
11/11/2022,88.96,86.27,90.1,86.18,301.66K,2.88%
10/11/2022,86.47,85.85,87.35,84.7,340.01K,0.75%
9/11/2022,85.83,88.57,89.24,85.5,388.30K,-3.46%
8/11/2022,88.91,91.87,92.17,88.52,344.22K,-3.14%
7/11/2022,91.79,91,93.74,90.4,322.42K,-0.89%
4/11/2022,92.61,87.9,92.87,87.82,354.06K,5.04%
3/11/2022,88.17,89.35,89.67,87.6,239.82K,-2.03%
2/11/2022,90,88.62,90.36,87.72,280.96K,1.84%
1/11/2022,88.37,86.43,89.45,85.92,274.32K,2.13%
31/10/2022,86.53,88.39,88.65,85.3,285.34K,-1.56%
28/10/2022,87.9,88.67,88.76,87.08,263.40K,-1.32%
27/10/2022,89.08,88.26,89.79,87.33,292.56K,1.33%
26/10/2022,87.91,85.07,88.41,84.14,287.18K,3.04%
25/10/2022,85.32,84.88,86.03,83.06,240.44K,0.87%
24/10/2022,84.58,85.24,85.92,82.63,250.73K,-0.55%
21/10/2022,85.05,85.07,85.9,83.15,272.80K,0.64%
20/10/2022,84.51,84.91,87.14,84.16,338.34K,-0.01%
19/10/2022,84.52,82.91,85.02,81.72,357.72K,2.99%
18/10/2022,82.07,84.8,85.53,81.3,367.50K,-2.91%
17/10/2022,84.53,84.63,86.18,83.7,174.19K,-0.14%
14/10/2022,84.65,88.15,88.52,84.22,161.13K,-3.75%
13/10/2022,87.95,86.01,88.38,84.43,185.66K,2.20%
12/10/2022,86.06,87.25,88.66,85.05,211.34K,-2.17%
11/10/2022,87.97,89.75,90.15,86.59,187.52K,-2.08%
10/10/2022,89.84,92.23,92.34,89.29,156.09K,-1.65%
7/10/2022,91.35,88.12,92,87.15,242.27K,4.29%
6/10/2022,87.59,87.12,88.2,86.15,108.49K,0.86%
5/10/2022,86.84,85.3,87.42,84.53,160.03K,1.57%
4/10/2022,85.5,82.57,85.98,82.33,156.00K,3.39%
3/10/2022,82.7,80.29,83.61,80.19,135.99K,5.06%
30/09/2022,78.72,80.86,81.72,78.36,95.34K,-2.11%
29/09/2022,80.42,81,81.99,79.45,127.46K,-1.01%
28/09/2022,81.24,77.38,81.4,75.84,156.31K,4.41%
27/09/2022,77.81,75.9,78.92,75.88,123.82K,2.14%
26/09/2022,76.18,78.75,79.76,75.7,106.23K,-2.65%
23/09/2022,78.25,83.15,83.45,77.64,143.23K,-5.76%
22/09/2022,83.03,82.54,85.44,81.89,121.08K,0.73%
21/09/2022,82.43,83.6,85.99,82,144.13K,-1.02%
20/09/2022,83.28,84.33,85.45,82.4,106.27K,-1.57%
19/09/2022,84.61,84.07,85.16,81.1,91.59K,0.64%
16/09/2022,84.07,83.93,85.39,83.19,93.63K,0.20%
15/09/2022,83.9,87.65,87.99,83.41,107.46K,-3.96%
14/09/2022,87.36,86.75,88.83,85.1,131.56K,1.29%
13/09/2022,86.25,87.1,88.26,84.1,128.54K,-0.70%
12/9/2022,86.86,85.26,87.95,84.22,100.63K,1.29%
9/9/2022,85.75,81.64,86,81.64,95.74K,3.99%
8/9/2022,82.46,81.11,83.13,80.48,112.61K,1.49%
7/9/2022,81.25,86.1,86.8,80.79,139.58K,-5.56%
6/9/2022,86.03,85.97,89.35,85.41,119.46K,-3.29%
5/9/2022,88.96,88.27,90.37,87.98,,0.80%
4/9/2022,88.25,86.91,88.28,86.91,,2.74%
2/9/2022,85.9,85.37,88.42,85.32,91.44K,0.28%
1/9/2022,85.66,87.71,88.37,85.07,105.50K,-3.00%
31/08/2022,88.31,91.21,91.55,87.4,113.90K,-2.38%
30/08/2022,90.46,94.87,95.55,89.38,136.39K,-4.81%
29/08/2022,95.03,91.47,95.23,90.79,86.03K,3.80%
26/08/2022,91.55,92.03,92.9,90,96.51K,-0.03%
25/08/2022,91.58,94.17,94.6,91.34,99.37K,-2.21%
24/08/2022,93.65,92.55,94.19,91.71,112.50K,1.21%
23/08/2022,92.53,89.74,92.87,89.5,104.56K,3.44%
22/08/2022,89.45,88.75,90.17,85.74,111.18K,-0.18%
19/08/2022,89.61,88.99,90.6,86.98,75.78K,0.59%
18/08/2022,89.08,86.22,89.93,86.15,90.92K,2.58%
17/08/2022,86.84,86.05,87.79,84.86,68.04K,1.59%
16/08/2022,85.48,86.57,88.94,84.75,105.79K,-2.75%
15/08/2022,87.9,90.09,90.15,85.35,79.45K,-2.51%
12/8/2022,90.16,91.65,92.32,89.25,77.23K,-1.78%
11/8/2022,91.79,89.26,92.4,89.18,119.11K,2.35%
10/8/2022,89.68,88.28,90.03,85.77,106.00K,1.82%
9/8/2022,88.08,88.17,90.17,86.8,99.78K,-0.32%
8/8/2022,88.36,86,88.47,84.86,73.94K,2.28%
5/8/2022,86.39,85.58,87.88,84.47,83.41K,0.47%
4/8/2022,85.99,88.55,89.35,85.14,83.66K,-2.64%
3/8/2022,88.32,90.65,93.28,88.08,111.62K,-3.30%
2/8/2022,91.33,90.19,92.87,89.05,86.32K,1.15%
1/8/2022,90.29,93.75,93.83,88.66,122.11K,-3.81%
29/07/2022,93.87,92.68,96.15,91.82,98.75K,2.13%
28/07/2022,91.91,93.04,94.69,91.4,82.50K,-0.47%
27/07/2022,92.34,90.21,93.44,89.36,82.29K,2.78%
26/07/2022,89.84,90.28,92.9,89.46,79.30K,-1.16%
25/07/2022,90.89,89.21,91.07,87.52,80.84K,2.20%
22/07/2022,88.93,89.89,91.15,88.2,87.91K,-1.13%
21/07/2022,89.95,92.26,92.33,87.87,92.20K,-2.67%
20/07/2022,92.42,92.14,92.83,90.59,86.07K,-0.01%
19/07/2022,92.43,90.9,92.69,89.15,82.80K,0.88%
18/07/2022,91.62,87.4,92.08,86.06,85.32K,4.79%
15/07/2022,87.43,86.67,88.86,85.13,69.42K,1.46%
14/07/2022,86.17,87.61,88.06,82.77,97.39K,-1.57%
13/07/2022,87.54,86.48,88.56,84.89,72.13K,1.03%
12/7/2022,86.65,92.7,92.75,86.15,92.79K,-7.24%
11/7/2022,93.41,93.28,93.71,90.08,58.80K,0.14%
8/7/2022,93.28,90.7,93.58,90.24,61.59K,2.62%
7/7/2022,90.9,86.63,91.98,85.36,87.81K,4.31%
6/7/2022,87.14,89.65,90.76,84.54,122.17K,-1.49%
5/7/2022,88.46,97.41,99.79,86.92,161.59K,-19.87%
4/7/2022,110.4,108.17,110.77,107.25,,2.04%
3/7/2022,108.19,108.67,108.81,108.14,,11.19%
1/7/2022,97.3,95.69,98.07,94.46,70.52K,1.82%
30/06/2022,95.56,99.39,100.23,95.34,83.89K,-3.75%
29/06/2022,99.28,101.17,102.93,98.84,63.03K,-1.88%
28/06/2022,101.18,98.92,101.58,98.59,57.51K,2.78%
27/06/2022,98.44,96.22,99.18,95.02,52.15K,1.66%
24/06/2022,96.83,94.51,97.98,93.88,74.92K,1.96%
23/06/2022,94.97,96.9,98.35,94.43,87.25K,-3.24%
22/06/2022,98.15,101.28,101.28,94.51,102.79K,-2.89%
21/06/2022,101.07,100.02,102.5,98.84,76.09K,-7.14%
20/06/2022,108.84,108.97,109.17,106.84,,-0.09%
19/06/2022,108.94,108.97,109.34,108.78,,9.20%
17/06/2022,99.76,105.32,106.77,98.69,103.89K,-5.92%
16/06/2022,106.04,104.79,106.39,102.47,93.61K,1.66%
15/06/2022,104.31,106.58,106.9,103.64,77.64K,-1.93%
14/06/2022,106.36,108.3,109.97,104.85,82.95K,-1.61%
13/06/2022,108.1,107.65,109.25,105.14,71.81K,-0.11%
10/6/2022,108.22,109.38,110,106.25,74.73K,-1.18%
9/6/2022,109.51,110.34,110.74,109.03,50.92K,-0.40%
8/6/2022,109.95,107.89,110.78,107.57,60.40K,2.20%
7/6/2022,107.58,106.73,108.27,105.86,66.74K,1.57%
6/6/2022,105.92,106.75,107.58,105.35,46.04K,0.01%
3/6/2022,105.91,104.62,107.19,102.93,40.17K,1.63%
2/6/2022,104.21,102.39,104.81,99.96,75.96K,1.45%
1/6/2022,102.72,102.5,103.91,101.71,64.46K,1.28%
31/05/2022,101.42,102.05,105.62,100.89,89.18K,-13.77%
30/05/2022,117.61,115.58,117.79,115.39,,1.73%
29/05/2022,115.61,115.3,115.81,115.2,,13.29%
27/05/2022,102.05,101.46,102.13,100.04,38.87K,0.83%
26/05/2022,101.21,98.85,101.66,98.19,57.92K,2.69%
25/05/2022,98.56,98.4,99.08,97.79,34.26K,0.72%
24/05/2022,97.86,97.67,98.99,96.26,46.40K,0.17%
23/05/2022,97.69,96.87,98.03,96.15,39.30K,1.02%
20/05/2022,96.7,95.99,97.25,95.38,37.65K,-0.01%
19/05/2022,96.71,94.59,96.86,92.39,74.95K,2.36%
18/05/2022,94.48,97.56,98.78,93.81,76.33K,-2.82%
17/05/2022,97.22,98.94,99.99,96.62,60.45K,-1.79%
16/05/2022,98.99,97.99,99.64,95.9,59.01K,1.17%
13/05/2022,97.85,95.71,97.9,95.34,45.89K,2.79%
12/5/2022,95.19,95.49,95.98,92.92,61.70K,-0.22%
11/5/2022,95.4,90.5,95.68,89.9,69.31K,4.89%
10/5/2022,90.95,93.68,94.34,90.62,75.40K,-2.76%
9/5/2022,93.53,99.4,99.4,92.87,74.04K,-5.27%
6/5/2022,98.73,97.41,99.35,96.28,66.40K,1.46%
5/5/2022,97.31,96.77,99.66,95.86,67.83K,0.28%
4/5/2022,97.04,93.59,97.56,93.14,55.74K,4.68%
3/5/2022,92.7,93.95,94.58,92.28,44.97K,-1.32%
2/5/2022,93.94,92.61,94.74,90.71,54.23K,0.65%
29/04/2022,93.33,93.8,95.71,92.81,54.16K,-0.87%
28/04/2022,94.15,92.92,94.41,91.44,62.63K,1.12%
27/04/2022,93.11,93.1,93.7,91.57,41.09K,0.24%
26/04/2022,92.89,91.22,93.85,90.45,50.20K,1.94%
25/04/2022,91.12,92.85,92.98,88.7,54.49K,-2.73%
22/04/2022,93.68,95.79,95.97,92.65,33.49K,-2.30%
21/04/2022,95.89,94.8,96.99,94.41,40.87K,1.48%
20/04/2022,94.49,94.38,95.68,93.17,49.13K,0.62%
19/04/2022,93.91,97.82,98.66,93.6,60.06K,-4.59%
18/04/2022,98.43,97.71,99.61,96.97,33.93K,0.14%
14/04/2022,98.29,96.68,98.63,95.24,49.84K,1.27%
13/04/2022,97.06,94.6,97.18,93.94,65.87K,2.58%
12/4/2022,94.62,91.54,94.91,91.19,71.12K,4.46%
11/4/2022,90.58,93.13,93.16,89,70.36K,-2.59%
8/4/2022,92.99,91.52,93.1,90.29,44.90K,1.97%
7/4/2022,91.19,91.5,92.31,89.26,73.86K,0.91%
6/4/2022,90.37,93.22,95.09,90,68.82K,-3.60%
5/4/2022,93.74,94.49,95.79,91.95,50.13K,-0.77%
4/4/2022,94.47,91.5,94.66,90.7,59.74K,3.44%
1/4/2022,91.33,90.85,91.83,88.7,66.89K,1.93%
31/03/2022,89.6,92.43,92.99,88.98,96.23K,-3.51%
30/03/2022,92.86,90.52,92.93,89.75,36.95K,3.55%
29/03/2022,89.68,88.09,91.12,85.35,66.90K,0.08%
28/03/2022,89.61,93.5,93.5,87.12,52.04K,-5.50%
25/03/2022,94.83,92.83,95.02,90.79,46.08K,1.44%
24/03/2022,93.48,95.16,96.85,92.47,41.02K,-2.34%
23/03/2022,95.72,92.45,95.91,92.16,53.90K,3.27%
22/03/2022,92.69,93.57,94.82,91.45,45.61K,-0.60%
21/03/2022,93.25,89.12,93.57,89.08,41.92K,4.54%
18/03/2022,89.2,88.3,90.24,87.61,31.68K,1.23%
17/03/2022,88.12,82.65,88.88,82.46,54.20K,6.55%
16/03/2022,82.7,83.5,86.38,82.23,48.28K,-1.70%
15/03/2022,84.13,86.94,86.98,82.09,84.31K,-3.03%
14/03/2022,86.76,90.25,90.76,85.69,64.33K,-3.85%
11/3/2022,90.23,87.67,90.38,85.64,57.97K,3.94%
10/3/2022,86.81,88.2,90.58,85.19,86.58K,0.74%
9/3/2022,86.17,97.99,99.07,80.8,126.78K,-10.95%
8/3/2022,96.77,96.32,100.75,93.97,110.15K,0.51%
7/3/2022,96.28,95.51,104.8,92.52,92.22K,1.97%
4/3/2022,94.42,88.22,94.69,88.22,110.57K,7.72%
3/3/2022,87.65,87,89.68,85.71,117.42K,0.39%
2/3/2022,87.31,85.5,88,84.1,151.29K,4.34%
1/3/2022,83.68,82.35,85.44,82.2,198.45K,1.75%
28/02/2022,82.24,83,85.95,81.92,95.09K,1.49%
25/02/2022,81.03,82.04,83.74,80.28,76.36K,-0.80%
24/02/2022,81.68,83.1,88.06,80.63,169.61K,-1.39%
23/02/2022,82.83,81.97,83.94,81.62,61.35K,0.88%
22/02/2022,82.11,81.45,84.16,79.98,77.56K,-11.38%
21/02/2022,92.65,91.62,93.91,89.08,,1.12%
20/02/2022,91.62,91.22,91.74,91.08,,13.48%
18/02/2022,80.74,79.94,81.24,78.4,64.13K,0.96%
17/02/2022,79.97,79.43,80.86,78.85,60.62K,-1.05%
16/02/2022,80.82,80.07,81.35,78.67,84.27K,1.14%
15/02/2022,79.91,82.04,82.29,79.14,72.63K,-3.37%
14/02/2022,82.7,82,83.03,81,65.91K,0.95%
11/2/2022,81.92,80.44,82.64,79.65,98.50K,1.76%
10/2/2022,80.5,80.67,81.72,80.06,59.59K,-0.14%
9/2/2022,80.61,79.98,81.06,79.11,58.57K,1.23%
8/2/2022,79.63,81.08,81.26,79.1,52.62K,-1.75%
7/2/2022,81.05,80.69,81.88,80.59,47.41K,0.01%
4/2/2022,81.04,79.51,81.35,79.47,60.07K,1.43%
3/2/2022,79.9,78.53,79.99,77.54,58.16K,1.62%
2/2/2022,78.63,78.35,79.41,77.81,59.29K,0.56%
1/2/2022,78.19,78.38,78.73,77.04,40.06K,-0.14%
31/01/2022,78.3,78.35,78.65,77.43,45.86K,0.72%
28/01/2022,77.74,78.5,79.17,77.46,55.41K,-0.06%
27/01/2022,77.79,78.32,79.2,77.49,51.59K,-0.80%
26/01/2022,78.42,77.15,78.93,76.96,56.68K,1.42%
25/01/2022,77.32,76.85,77.52,75.93,59.34K,1.63%
24/01/2022,76.08,77.3,78.28,74.94,44.21K,-1.79%
21/01/2022,77.47,77.08,77.77,75.71,50.89K,-0.72%
20/01/2022,78.03,76.96,78.65,76.69,55.81K,0.59%
19/01/2022,77.57,77.64,78.14,76.88,56.97K,0.70%
18/01/2022,77.03,76.12,77.72,75.48,65.81K,-7.96%
17/01/2022,83.69,83.84,83.95,82.94,,-0.17%
16/01/2022,83.83,83.78,84.09,83.68,,10.54%
14/01/2022,75.84,74.57,76.13,74.46,58.36K,1.40%
13/01/2022,74.79,75.08,75.28,74.21,39.99K,-0.16%
12/1/2022,74.91,74.21,75.3,73.99,60.31K,0.89%
11/1/2022,74.25,72.17,74.42,72.06,63.13K,3.11%
10/1/2022,72.01,72.78,73.22,71.74,30.20K,-0.89%
7/1/2022,72.66,72.99,73.7,72.43,38.64K,-0.42%
6/1/2022,72.97,71.37,73.38,71.07,60.11K,1.02%
5/1/2022,72.23,72.17,72.76,71.44,55.79K,0.17%
4/1/2022,72.11,71.1,72.43,70.85,40.33K,1.41%
3/1/2022,71.11,70.17,71.34,69.35,22.15K,1.83%
31/12/2021,69.83,70.9,71.46,69.78,22.07K,-2.25%
30/12/2021,71.44,71.03,71.81,70.48,14.20K,0.49%
29/12/2021,71.09,70.6,71.67,70.02,21.37K,0.91%
28/12/2021,70.45,70.25,71.16,69.97,21.17K,0.50%
27/12/2021,70.1,68.11,70.56,67.49,20.81K,2.28%
23/12/2021,68.54,67.86,68.73,67.16,26.78K,1.29%
22/12/2021,67.67,66.97,67.9,66.42,27.39K,1.00%
21/12/2021,67,65.57,67.22,64.97,26.27K,3.12%
20/12/2021,64.97,65.73,65.73,63.14,41.91K,-2.21%
17/12/2021,66.44,67.65,67.86,65.79,36.32K,-2.29%
16/12/2021,68,67.72,68.49,67.3,34.40K,1.07%
15/12/2021,67.28,67.34,67.88,66.27,38.39K,-0.34%
14/12/2021,67.51,67.86,68.5,66.54,37.16K,-0.66%
13/12/2021,67.96,68.67,69.37,67.76,30.17K,-0.44%
10/12/2021,68.26,67.35,68.86,67.3,29.68K,0.62%
9/12/2021,67.84,68.95,69.48,67.28,34.58K,-1.67%
8/12/2021,68.99,68.08,69.1,67.56,42.63K,0.95%
7/12/2021,68.34,66.39,68.65,66.29,53.79K,3.25%
6/12/2021,66.19,64.27,66.74,64.23,47.76K,3.93%
3/12/2021,63.69,63.49,65.41,63.07,53.56K,0.41%
2/12/2021,63.43,62.56,64,60.2,81.55K,1.60%
1/12/2021,62.43,63.25,65.2,61.82,58.79K,-0.11%
30/11/2021,62.5,66.1,66.91,61.07,71.17K,-5.13%
29/11/2021,65.88,64.42,67.84,64.42,53.12K,2.97%
26/11/2021,63.98,71.96,72.26,63.48,94.68K,-17.35%
25/11/2021,77.41,78.38,78.65,77.28,,7.72%
24/11/2021,71.86,71.82,72.34,71.34,27.41K,-0.24%
23/11/2021,72.03,70.02,72.22,69.36,57.61K,2.58%
22/11/2021,70.22,68.86,70.29,68.25,34.29K,1.64%
19/11/2021,69.09,70.65,71.51,68.7,47.61K,-2.44%
18/11/2021,70.82,69.99,70.92,69.22,36.12K,1.42%
17/11/2021,69.83,71,71.1,69.39,52.18K,-1.80%
16/11/2021,71.11,71.01,71.81,70.75,23.31K,0.20%
15/11/2021,70.97,71.06,71.23,70.13,24.36K,0.01%
12/11/2021,70.96,71.46,71.63,70.23,29.72K,-0.87%
11/11/2021,71.58,71.6,71.92,70.71,29.81K,0.35%
10/11/2021,71.33,73.08,73.27,71.05,41.35K,-2.21%
9/11/2021,72.94,72.5,73.08,72.23,40.08K,0.73%
8/11/2021,72.41,71.9,72.72,71.82,29.40K,0.65%
5/11/2021,71.94,70.21,72.15,69.69,76.52K,2.90%
4/11/2021,69.91,69.84,72.09,69.53,94.11K,-0.30%
3/11/2021,70.12,71.54,71.66,69.38,58.98K,-2.58%
2/11/2021,71.98,71.62,72.14,71.28,26.14K,0.19%
1/11/2021,71.84,71.4,72.1,70.77,32.64K,0.71%
29/10/2021,71.33,71.79,72.24,70.88,33.68K,-0.50%
28/10/2021,71.69,71.75,72.02,70.03,41.52K,-0.24%
27/10/2021,71.86,72.82,72.91,71.53,40.94K,-1.64%
26/10/2021,73.06,72.76,73.25,72.41,44.89K,0.47%
25/10/2021,72.72,72.3,73.06,72.05,67.95K,0.92%
22/10/2021,72.06,72.07,72.71,71.56,66.02K,-0.17%
21/10/2021,72.18,73.43,73.64,71.4,57.03K,-1.89%
20/10/2021,73.57,72.76,73.63,71.8,38.49K,1.14%
19/10/2021,72.74,72.41,73.23,72,44.12K,0.41%
18/10/2021,72.44,72.81,73.67,72.02,55.46K,-0.48%
15/10/2021,72.79,72.78,73.24,72.5,42.26K,0.25%
14/10/2021,72.61,72.31,72.86,71.9,40.95K,0.69%
13/10/2021,72.11,71.79,72.35,71.04,34.33K,0.10%
12/10/2021,72.04,71.71,72.41,71.1,46.02K,0.18%
11/10/2021,71.91,71.15,72.61,71.15,51.75K,1.52%
8/10/2021,70.83,70.97,71.66,70.49,58.18K,0.50%
7/10/2021,70.48,69.61,70.97,67.91,55.21K,1.02%
6/10/2021,69.77,71.23,71.57,69.33,61.52K,-1.91%
5/10/2021,71.13,69.98,71.31,69.9,43.77K,1.50%
4/10/2021,70.08,68.95,70.77,68.39,50.83K,1.85%
1/10/2021,68.81,67.76,68.9,67.2,34.86K,1.64%
30/09/2021,67.7,67.64,68.5,66.4,49.77K,-0.12%
29/09/2021,67.78,67.28,68.33,66.57,28.75K,-0.06%
28/09/2021,67.82,67.96,68.87,67.07,39.10K,-0.31%
27/09/2021,68.03,66.96,68.18,66.74,50.27K,2.10%
24/09/2021,66.63,66.25,66.73,65.91,38.92K,0.62%
23/09/2021,66.22,65.25,66.28,65,33.63K,1.22%
22/09/2021,65.42,64.5,65.47,64.4,29.24K,1.93%
21/09/2021,64.18,64.01,64.83,63.4,26.10K,0.77%
20/09/2021,63.69,65.03,65.03,63.39,31.07K,-2.08%
17/09/2021,65.04,65.51,65.61,64.78,24.80K,-0.88%
16/09/2021,65.62,65.57,65.85,64.87,31.59K,0.02%
15/09/2021,65.61,64.91,66.27,64.89,72.00K,1.41%
14/09/2021,64.7,64.96,65.32,64.34,30.85K,-0.23%
13/09/2021,64.85,64.3,65.16,64.3,40.43K,0.67%
10/9/2021,64.42,63.04,64.45,62.86,28.48K,2.04%
9/9/2021,63.13,63.9,64.27,62.58,39.91K,-1.21%
8/9/2021,63.9,63.48,64.37,63.46,40.94K,0.52%
7/9/2021,63.57,64,64.35,63.03,32.01K,-7.60%
6/9/2021,68.8,68.75,69.47,68.27,,0.07%
5/9/2021,68.75,69.22,69.23,68.73,,7.14%
3/9/2021,64.17,64.33,64.86,63.96,39.79K,-0.60%
2/9/2021,64.56,63.15,64.9,62.85,46.41K,1.75%
1/9/2021,63.45,63.1,63.75,62.23,33.21K,0.44%
31/08/2021,63.17,63.24,63.53,62.8,24.81K,-0.35%
30/08/2021,63.39,63.5,63.77,62.6,18.72K,0.36%
27/08/2021,63.16,62.32,63.18,62,21.79K,1.94%
26/08/2021,61.96,62.51,62.59,61.7,26.50K,-1.31%
25/08/2021,62.78,62.2,62.89,61.65,24.23K,1.06%
24/08/2021,62.12,60.62,62.23,60.44,19.97K,2.58%
23/08/2021,60.56,57.5,60.73,57.5,31.27K,4.85%
20/08/2021,57.76,59.2,59.3,57.52,24.05K,-2.10%
19/08/2021,59,59.8,60,58.13,39.57K,-2.35%
18/08/2021,60.42,61.2,61.8,59.67,28.62K,-1.24%
17/08/2021,61.18,62,62.07,61.03,20.55K,-1.07%
16/08/2021,61.84,62.22,62.45,60.61,21.04K,-1.31%
13/08/2021,62.66,62.9,63.17,62.2,16.23K,-0.76%
12/8/2021,63.14,63.18,63.34,62.44,11.88K,-0.05%
11/8/2021,63.17,62.47,63.25,61.26,23.79K,1.19%
10/8/2021,62.43,61.47,62.79,61.06,25.88K,1.98%
9/8/2021,61.22,61.99,61.99,60.18,32.11K,-2.02%
6/8/2021,62.48,62.56,63.53,62,26.52K,-0.19%
5/8/2021,62.6,61.51,62.64,61.27,22.81K,1.56%
4/8/2021,61.64,62.78,63.12,61.41,36.87K,-1.89%
3/8/2021,62.83,63.09,63.47,61.71,21.44K,-0.08%
2/8/2021,62.88,64.75,64.75,62.26,29.17K,-2.95%
30/07/2021,64.79,64.55,65.07,64.25,19.46K,0.06%
29/07/2021,64.75,63.62,64.77,63.55,20.12K,1.63%
28/07/2021,63.71,63.38,63.95,63.27,18.31K,0.87%
27/07/2021,63.16,63.32,63.67,62.84,13.39K,-0.14%
26/07/2021,63.25,63.32,63.56,62.2,19.70K,0.05%
23/07/2021,63.22,62.93,63.3,62.69,14.71K,0.21%
22/07/2021,63.09,62.2,63.16,61.9,21.08K,1.17%
21/07/2021,62.36,59.91,62.41,59.51,24.68K,3.61%
20/07/2021,60.19,60.01,60.55,58.74,30.37K,0.70%
19/07/2021,59.77,63.06,63.36,59.16,47.12K,-6.27%
16/07/2021,63.77,63.2,63.92,62.53,28.29K,0.76%
15/07/2021,63.29,63.8,63.84,62.69,44.35K,-0.88%
14/07/2021,63.85,64.95,65.21,63.04,31.27K,-1.81%
13/07/2021,65.03,63.92,65.19,63.75,31.51K,1.90%
12/7/2021,63.82,63.77,64.01,62.99,18.56K,0.05%
9/7/2021,63.79,62.76,63.95,62.38,22.85K,1.93%
8/7/2021,62.58,62.09,62.77,61.19,31.64K,0.90%
7/7/2021,62.02,63.2,64.03,61.37,33.44K,-1.34%
6/7/2021,62.86,64.7,65.24,62.53,42.49K,-17.56%
5/7/2021,76.25,75.15,76.4,74.75,,1.48%
4/7/2021,75.14,75.22,75.28,75,,16.08%
2/7/2021,64.73,64.32,64.84,63.96,16.07K,0.33%
1/7/2021,64.52,63.75,65.16,63.63,33.77K,1.18%
30/06/2021,63.77,63.89,64.42,63.47,19.08K,0.14%
29/06/2021,63.68,63.55,64.32,63.09,16.93K,0.02%
28/06/2021,63.67,64.27,64.56,63.43,22.44K,-1.06%
25/06/2021,64.35,63.94,64.35,63.32,32.95K,0.55%
